area,hp
80,10.0
41,2.4
20,2.4
20,2.4
19,2.4
28,2.4
31,2.4
33,2.4
32,2.4
37,2.4
32,2.4
31,2.4
32,2.4
22,2.4
22,2.4
22,2.4
42,2.9
28,2.4
40,3.7
40,3.7
79,7.5
15,0.3
42,2.0
24,1.0
57,1.5
66,5.0
88,7.5
95,7.5
115,7.5
34,2.4
35,2.4
34,2.4
33,2.4
250,20.0
27,0.5
24,2.9
26,2.9
25,2.9
25,2.9
35,2.9
33,2.9
41,2.9
35,2.9
23,2.4
25,2.4
25,2.4
26,2.4
22,2.4
21,2.4
25,2.4
20,2.4
27,2.4
27,2.4
26,2.4
24,2.4
25,2.4
115,2.0
36,1.0
56,1.5
132,5.0
41,1.0
115,10.0
50,2.4
113,10.0
33,2.4
33,2.4
34,2.4
32,2.4
32,2.9
33,2.9
32,2.9
33,2.9
35,0.33
40,2.4
34,2.4
40,2.4
41,2.4
86,7.5
34,5.0
39,3.7
45,3.0
44,1.5
253,20.0
77,3.0
20,1.0
19,1.0
71,7.5
84,7.5
12,0.5
43,1.5
42,1.5
46,1.5
87,7.5
85,7.5
23,2.4
23,2.4
26,2.4
25,2.9
27,2.9
23,2.9
24,2.9
37,2.9
40,2.9
64,3.0
30,1.0
64,7.5
63,7.5
21,2.4
34,2.4
34,2.4
35,2.4
34,2.4
24,2.0
33,2.4
31,2.4
31,2.4
31,2.4
26,2.4
37,2.4
42,2.4
42,2.4
102,10.0
85,7.5
90,5.0
44,1.5
35,5.0
24,1.0
36,1.5
43,3.0
43,3.0
42,3.0
43,3.0
23,2.9
22,2.9
37,2.9
22,2.4
31,2.4
31,2.4
29,2.4
31,2.4
31,2.4
35,2.4
35,2.4
33,2.4
33,2.4
75,3.0
38,2.4
31,1.0
34,2.4
35,2.4
32,2.4
32,2.4
34,2.4
60,1.0
58,2.4
433,15.0
66,1.0
143,2.0
85,10.0
29,2.4
26,2.4
28,2.4
22,2.4
22,2.4
23,2.4
36,2.4
32,2.4
34,2.4
34,2.4
34,2.4
32,2.4
25,0.33
33,2.4
32,2.4
32,2.4
35,2.4
42,2.4
35,2.4
32,0.33
40,2.4
28,2.0
24,2.0
28,2.0
31,2.0
25,2.0
75,2.0
29,2.0
34,2.4
33,2.4
34,2.4
34,2.4
35,2.4
33,2.4
32,2.4
33,2.4
23,2.9
21,2.9
20,2.9
22,2.9
33,2.4
33,2.4
34,2.4
39,2.4
30,2.4
26,2.4
26,2.4
36,2.4
38,2.4
28,2.4
28,2.4
24,2.4
35,3.7
38,2.4
38,2.4
36,2.4
36,2.4
37,2.4
26,2.9
30,2.4
30,2.9
25,2.4
26,2.4
22,2.4
23,2.4
25,2.4
24,2.4
23,2.4
26,2.4
24,2.4
21,2.4
19,2.4
23,2.4
25,2.4
22,2.4
25,2.4
23,2.4
73,3.0
72,3.0
70,3.0
74,3.0
71,3.0
73,3.0
74,3.0
73,3.0
84,5.0
85,5.0
77,3.0
80,7.5
78,5.0
45,5.0
64,5.0
